TrackId,SongName,Artist,SpotifyArtistId,ReleaseDate,Label
4NhDYoQTYCdWHTvlbGVgwo,GOOBA,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,5/8/2020,Scumgang Records
4ot7u8Ij91aHKohSV2QYZi,Water,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,5/8/2020,TSNMI / Atlantic
4pBffGYVZdsmLIfwzKzAb1,Incubus,Zeon,4M1xUzTvV1FL2OtgkYYy6c,5/8/2020,Trinity
4pbYrzss262Yvva3OEvkdh,Intension,King Phantom,7oJMk0ds8P6xLeceWRsviH,5/8/2020,A.C.E Records
4qsqqEJRPOdcyXqgqZOehe,Dying Day,Band Of Skulls,4ddt8PPvmWrI9mJQy1VrIG,5/8/2020,So Recordings
4QwUqD2QCV5T4k82B9qEgt,Wildfeather,J.B. Boone,6pC2OZq9beGbw5N1gTB1fa,5/8/2020,Mountain Sounds
4R8w2JL8scfX8stWuJ1m27,St. Angela Merici,Choir Boy,2EvEdhJhS6JhayAsJZyAyL,5/8/2020,Dais Records
4rUkfqNycwGlyInQIK4D8u,DOUBLE TROUBLE (feat. Big Pat),Booz,6TuVQLhn2QGz4ro1RAzXyc,5/8/2020,RBK
4RzYEDJuu6I2PPlB0gSdBc,Turn Myself In,Lil Durk,3hcs9uc56yIGFCSy9leWe7,5/8/2020,Alamo (Geffen Records)
2yV0N09wOvcuh1PfDm7592,Dez Anjos,Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM,5/8/2020,Nascimento Música e Oloko Records
2yeQNdQAoWT84bDGBBvU3J,Fabricated,Lil Durk,3hcs9uc56yIGFCSy9leWe7,5/8/2020,Alamo (Geffen Records)
2YexeE3MU9eMpv5TDVPgYl,Dropout (with Maxo Kream),OMB Bloodbath,791JV2CttYVOeGa9F6Kdu3,5/8/2020,10:22pm/LVRN/Interscope Records
2yKjb0rZAa4YEZDe1gNaks,Outside,Lhasa Petik,4F6d5pVnChKy8CcMBaZ1Ja,5/8/2020,Lhasa Petik & Makzo
2Unf1gvMwwOwVvO16bxdJM,Defqon Bounce,Juelz,04p1jV00pBnrmh2rKl0jnT,5/8/2020,Sable Valley Records
2UpJT8mji5z6xcoOflvXtH,On My Mind,Mavado,0eezS9KmhdjGN436RdTIXu,5/8/2020,Caroline International (S&D)
2VG6rPVWfL2fCSKBbYoDgz,The Rhythm,GAMECHANGER,1v1pQDlobitrUTsAdqneDJ,5/8/2020,Bellevue Records
2vItWNTKg41RHCVSyi4RHT,Rendezvouz,NXS,61XvJrAxeermvrtnaxiX5y,5/8/2020,NXSMUSIC
2VPq0IUugnOWLcAT5MbFIu,Hailey - Acoustic,ANSON,4F0mwtDsLi4dKzug5JB5gn,5/8/2020,We Are Triumphant
2WIqQtdtCeVwGmI2AmiVgZ,wrong things,OKAY! KENJI,00zm8dLiIe8eTAWaEsrOrm,5/8/2020,OKAY! KENJI
2wZYyznX5ctRss44BSb3l2,Eternity,Christi Stills,1DQd9MXRThcsgsroznzmdU,5/8/2020,Christi Stills
30zo7lfQLkmj6eH6A4HTvH,Amplified,BROHUG,3IHsD0sttucHrX8b32Vcab,5/8/2020,BROHOUSE
32vacdnDAMR2DSjs3SrZBR,Candy Apple Red,Tr38cho,2DCPozUXEbF7CDh7PDNfxr,5/8/2020,Dead Trash Mob Records
34y6W0BvgijJsbeHpEno3K,Enemies,Hp Boyz,0JlQaGJZfrqYeZG1AQICxp,5/8/2020,HP Boyz
35IKPa2CS6S5Yva628VuQU,So-So,Gaspar Narby,2j4vLZ1ZNKpYCPhk98FR2s,5/8/2020,Radicalis
35L0yFzKlKmnOMMWq75HjV,Paga pra Ver,Adna,1pduOlnYE5rd4VChXbeU8g,5/8/2020,3Sons
36fnBaGaNqv9febSNqzrdG,WeatherMan,Prodi. J,1oq7Ylq7O1khGKEjOFvRYr,5/8/2020,1768347 Records DK2
36UydK4alowbfzLsWXNf2S,Issa Bop,Mission,02gxa3HE5O0zBKRjeDh6Ba,5/8/2020,RMG Amplify / AOYNOM / RPSMG
37FKF0vMOFVQ8dP3h2daR3,High Enough,Firebeatz,53YSn9tHwGJ6bq5P0gGoYo,5/8/2020,Spinnin' Records
37JvTJWdVpsGeWAy8sVJo1,NEVER FAIL - Remix,Da' T.R.U.T.H.,2ISIE0MEDMdAF2LDMLrVD4,5/8/2020,Da' T.R.U.T.H.
388GoF6YpNjziOWPDMyTUu,Lastro,O Cerne,0ZZEab0MKbLaIZgA51HbwR,5/8/2020,O Cerne
3aMpSBqwbPDxcZIFhDqvVM,Walls,Watermät,4a9sClW4YpYQE5jUMAWx5W,5/8/2020,Spinnin' Deep
3AnP3P0PGUNUwSSJUiEhL5,Bounce,Josh Green,0xXMsyc2FWYMw1kWLNEpHA,5/8/2020,zero21records
3aUw0b3ELuGIQozDT3bua9,2077,Subshock & Evangelos,2zmc5GOSrIaronLdKaqluH,5/8/2020,Subshock and Evangelos
3B0aVYHRUPaGUqRjuSNPak,Smoke Free,Bizzle,0P8V2XSw1mIo8739T1qjzr,5/8/2020,God Over Money LLC
2IEdzwychLoGkwX6ua2e9W,Ending,AlexEps,18ezAx74aKWItOY2d0EhhF,5/8/2020,lexy sexy
2II4xJzYGw1eSRXN9otYRs,With You,Jake Kelley,05rp9VzGB1jJUrrji8oNPk,5/8/2020,Jendex Plus
2JVxP9M0nvjBEURI74DnSR,Ghost,Michael DeAngelo,2mj5RCYjDhvMwQwVWApnXA,5/8/2020,Cold Gang in association with TSH
2jXK8XVE5iK6J2KWM07XYG,For You,Mert Duran,6X43GJxHtPLmgVUBFZb3af,5/8/2020,Epic Tones Records
2LTyDRnT7TAap7vIlmvBxe,Trapp Nigga Life,CG Hitz,1CQyJjqKWtWk3CwPbLT79r,5/8/2020,CG Hitz
2m3vyYXKQDsE2efE7h7A6w,Socialize,Andrew Southworth,2jxpKAMepbt3QvXQlXy0zM,5/8/2020,Genera Studios
2nG0ABL5YDbTLpvJJlIxFO,Together,Manse,2jGvmFH6YE352p9LKmuB0y,5/8/2020,Revealed Recordings
2nr7m8gaYqbbXQrMFJ2lPu,Come Away,Sad Money,1jROQOzEAuW47ItjQ5FwCQ,5/8/2020,Ultra Records
2oa0slUN4KGoRiAQ74AjAH,Snow Structure,Gustav Nören,4itFdHmKRwKrDUTfN6TkOQ,5/8/2020,Independent
2p4Gbf5drGPW5zvprCOjyL,Oblivion,Echoes from Infinity,1uMZ5XGnVEUOr4olCsGnYO,5/8/2020,EFI Records
